,port_1,port_2,port_3,port_4,port_5
Excess_Return%,1.497958137510821,1.735313014368507,1.411533327867563,1.3224283288522487,0.9098723093395578
p-Excess_Return,0.0034930171010482377,0.007451405410912231,0.04571529590296611,0.0802538815190337,0.2925678219628489
CAPM_alpha%,1.0028733060735293,1.0847480853377045,0.7029665460272251,0.5645637095348296,0.05439038043164113
p-CAPM_alpha,1.1194587646183192e-08,6.34778253033939e-12,3.2668999634739954e-05,0.002327919593205657,0.8237272349027487
FF3_alpha%,0.9529668069459651,1.0825097521066802,0.7243908875987433,0.46492777128388574,-0.0742839602330219
p-FF3_alpha,3.405422959571756e-08,7.228464543956964e-11,6.565655777005711e-07,0.0016864155000592329,0.7560709052461626
Carhart4_alpha%,0.9216865813235652,1.0882969141920737,0.7218694149013093,0.4826043365404385,-0.004467305507526668
p-Carhart4_alpha,4.812292268110567e-07,5.527381131057012e-11,7.866470479347118e-07,0.001265562645699256,0.9861861459464469
FF5_alpha%,0.9560544034184245,1.1269109882353117,0.7668954525825119,0.5946866370547376,0.19156507623923177
p-FF5_alpha,5.021854342835407e-07,4.205940808549636e-09,4.1361029676401474e-07,0.0005276197735173823,0.4150553338461018
LSY3_alpha%,0.9096373997905444,1.2137472494295447,0.950366459345231,1.0092118675774555,0.9201558712506261
p-LSY3_alpha,2.3347059055966967e-05,1.8841960240458393e-10,2.480377043760396e-08,2.3767450953098003e-07,3.6808939920093265e-05
LSY4_alpha%,0.9050706725661776,1.2331774750860947,0.9264601848701752,1.0717869927281944,1.0879435477355057
p-LSY4_alpha,0.00019130159709534076,3.540437554230481e-10,7.744578488882236e-08,3.205014661933539e-08,8.157076201704182e-06
beta (ex ante),0.5971011526507315,0.9550462758678154,1.1144361819029978,1.2460382879761829,1.4319373729338798
beta (realized),0.7667923354405934,1.0076014646602194,1.0974353140362707,1.1737882974663638,1.3249789622722723
volatility%,22.683211775960995,28.680158599707507,31.244770779707387,33.43592975594965,38.23319743293138
Sharpe Ratio,0.7924582209817289,0.7260683758085792,0.5421195134966962,0.4746133893107369,0.28557558470561756
