,port_1
Excess_Return%,0.8907475467976168
p-Excess_Return,0.0019637331320449592
CAPM_alpha%,0.8137706915951874
p-CAPM_alpha,0.000770363136178917
FF3_alpha%,0.7112372335351477
p-FF3_alpha,0.0016396377389554804
Carhart4_alpha%,0.6637639723932051
p-Carhart4_alpha,0.00254491067295815
FF5_alpha%,0.9323705049364042
p-FF5_alpha,0.0005152816441938491
LSY3_alpha%,0.7878080542351857
p-LSY3_alpha,0.0005805890427730564
LSY4_alpha%,0.6793072783916717
p-LSY4_alpha,0.0009872458058614198
beta (realized),0.08102092995140386
volatility%,9.243592410044506
Sharpe Ratio,1.1563654137277064
